country,year,vaccine,method,population,urban_poor_population,urban_nonpoor_population,rural_population,urban_poor_zero_dose,urban_nonpoor_zero_dose,rural_zero_dose,total_zero_dose,overall_zero_dose_percent
Afghanistan,2025,measles1,static,1378023,172099.462729917,208414.028260083,997509.50901,71429.88041392533,73934.01495912144,470410.6291607527,615774.5245337995,44.685358991381094
Afghanistan,2026,DTP1,historical_progress,1431867,181383.31480185062,219656.85829214938,1030826.8269059999,47765.13871729825,41162.28541612388,344848.78543485404,433776.2095682762,30.2944484067498
Afghanistan,2026,DTP1,static,1431867,181383.31480185062,219656.85829214938,1030826.8269059999,52134.01476583509,46998.4724311182,367278.0171683352,466410.50436528854,32.57359128782831
Afghanistan,2026,DTP3,historical_progress,1431867,181383.31480185062,219656.85829214938,1030826.8269059999,55599.83174896043,51628.303043968095,385071.06311350135,492299.1979064299,34.38162887380112
Afghanistan,2026,DTP3,static,1431867,181383.31480185062,219656.85829214938,1030826.8269059999,65637.67297855315,65037.40826734532,436604.01221555396,567279.0934614524,39.61814145178654
Afghanistan,2026,measles1,historical_progress,1404818,177956.8532086473,215507.3818673527,1011353.7649239999,64671.78018230355,64174.896156194176,429763.1849616438,558609.8613001416,39.76385989502851
Afghanistan,2026,measles1,static,1404818,177956.8532086473,215507.3818673527,1011353.7649239999,73860.99027793446,76450.35282797045,476939.37407590705,627250.7171818119,44.64996299747098
Afghanistan,2027,DTP1,historical_progress,1447010,185887.98414547715,225112.05419452288,1036009.96166,47497.46476456413,40242.32036911699,339262.73367485957,427002.51880854066,29.509299784282117
Afghanistan,2027,DTP1,static,1447010,185887.98414547715,225112.05419452288,1036009.96166,53428.76725358395,48165.68330819926,369124.7400178746,470719.1905796578,32.53047253161055
Afghanistan,2027,DTP3,historical_progress,1447010,185887.98414547715,225112.05419452288,1036009.96166,53692.07955589761,48517.430490444356,370450.42415832076,472659.93420466274,32.66459348620001
Afghanistan,2027,DTP3,static,1447010,185887.98414547715,225112.05419452288,1036009.96166,67267.78991393102,66652.61757990469,438799.31541332055,572719.7229071562,39.57952764024825
Afghanistan,2027,measles1,historical_progress,1425186,183084.39649508713,221716.88382891292,1020384.719676,63456.458033714465,61911.24656149327,418100.4383147861,543468.1429099939,38.133137913928
Afghanistan,2027,measles1,static,1425186,183084.39649508713,221716.88382891292,1020384.719676,75989.17707153536,78653.14797927273,481198.23784456117,635840.5628953693,44.614567003560886
Afghanistan,2028,DTP1,historical_progress,1463931.5,190678.43854162237,230913.33841737756,1042339.7230410001,47250.714724008074,39314.6274365789,334072.56389059284,420637.9060511798,28.73344183461998
Afghanistan,2028,DTP1,static,1463931.5,190678.43854162237,230913.33841737756,1042339.7230410001,54805.661376929995,49406.94433110929,371379.9997263749,475592.60543441423,32.48735377539278
Afghanistan,2028,DTP3,historical_progress,1463931.5,190678.43854162237,230913.33841737756,1042339.7230410001,51785.75910976649,45372.79133560962,356467.2789305289,453625.829375905,30.98682072049853
Afghanistan,2028,DTP3,static,1463931.5,190678.43854162237,230913.33841737756,1042339.7230410001,69001.3246627934,68370.2989371373,441480.26932641043,578851.8929263412,39.54091382870996
Afghanistan,2028,measles1,historical_progress,1440161,187582.30882287966,227163.8969231203,1025414.7942540001,61908.472232773034,59281.8135032144,404818.93696775404,526009.2227037415,36.52433461979192
Afghanistan,2028,measles1,static,1440161,187582.30882287966,227163.8969231203,1025414.7942540001,77856.03554157456,80585.45335694673,483570.34610577556,642011.8350042969,44.579171009650786
Afghanistan,2029,DTP1,historical_progress,1482712.5,195774.9098710581,237085.2119539419,1049852.3781750002,47025.146762474804,38377.025616513536,329269.7579720314,414671.9303510198,27.9671163729327
Afghanistan,2029,DTP1,static,1482712.5,195774.9098710581,237085.2119539419,1049852.3781750002,56270.512274779765,50727.497809438515,374056.71807446727,481054.72815868555,32.444235019175025
Afghanistan,2029,DTP3,historical_progress,1482712.5,195774.9098710581,237085.2119539419,1049852.3781750002,49883.31610195435,42195.1267941177,343115.47515897284,435193.9180550449,29.35120045558697
Afghanistan,2029,DTP3,static,1482712.5,195774.9098710581,237085.2119539419,1049852.3781750002,70845.59859080886,70197.706749909,444662.23480138864,585705.5401421065,39.50230001717167
Afghanistan,2029,measles1,historical_progress,1457936,192503.46172826557,233123.45823973443,1032309.0800320001,60398.571211862516,56650.41618415167,392358.5607128663,509407.5481088805,34.94032303948051
Afghanistan,2029,measles1,static,1457936,192503.46172826557,233123.45823973443,1032309.0800320001,79898.5600094284,82699.58309768808,486821.5886063726,649419.731713489,44.543775015740685
Afghanistan,2030,DTP1,historical_progress,1496775.5,200307.13026454355,242573.77243045648,1053894.597305,46613.380758095256,37261.13476573728,323406.28512643446,407280.800650267,27.210546982514543
Afghanistan,2030,DTP1,static,1496775.5,200307.13026454355,242573.77243045648,1053894.597305,57573.18361020063,51901.8474757663,375496.938864493,484971.9699504599,32.40111626295727
Afghanistan,2030,DTP3,historical_progress,1496775.5,200307.13026454355,242573.77243045648,1053894.597305,47774.055656595316,38811.62869049038,328922.8363870812,415508.5207341669,27.76024331866515
Afghanistan,2030,DTP3,static,1496775.5,200307.13026454355,242573.77243045648,1053894.597305,72485.68549946035,71822.79485909212,446374.3061642475,590682.7865228,39.46368620563337
Afghanistan,2030,measles1,historical_progress,1477864,197776.284259917,239508.894700083,1040578.8210400001,58894.4031038435,53982.77255420364,380489.57678854256,493366.7524465897,33.383772285311075
Afghanistan,2030,measles1,static,1477864,197776.284259917,239508.894700083,1040578.8210400001,82087.0449524104,84964.79028513705,490721.4753096389,657773.3105471863,44.50837902183058
