country,vaccine,year,urban_rate,recent_year,recent_coverage_value,intercept,slope,projected_coverage,urban non-poor_proportion_of_children_percent,urban poor_proportion_of_children_percent,rural_proportion_of_children_percent,urban non-poor_zero_dose_percent,urban poor_zero_dose_percent,rural_zero_dose_percent,rural_proportion,urban poor_adjusted,urban non-poor_adjusted,avg_projected_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage,method
Pakistan,DTP1,2029,0.402856,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,59.7144,16.3953023255814,23.89029767441861,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2030,0.4068,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,59.32,16.55581395348837,24.12418604651163,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2031,0.41160399999999997,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,58.839600000000004,16.75132558139535,24.409074418604646,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2032,0.416408,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,58.3592,16.94683720930233,24.693962790697675,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2033,0.421212,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,57.878800000000005,17.142348837209305,24.978851162790697,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2034,0.426016,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,57.3984,17.337860465116282,25.26373953488372,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2035,0.43082,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,56.918,17.533372093023257,25.548627906976744,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2036,0.43645,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,56.355,17.762500000000003,25.8825,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2037,0.44208,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,55.792,17.991627906976746,26.216372093023256,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2038,0.44771,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,55.229,18.22075581395349,26.550244186046513,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2039,0.45333999999999997,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,54.666000000000004,18.449883720930234,26.884116279069765,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2040,0.45897,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,54.103,18.679011627906977,27.217988372093025,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2041,0.46523,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,53.477000000000004,18.933779069767446,27.589220930232557,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2042,0.47148999999999996,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,52.851000000000006,19.18854651162791,27.960453488372092,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2043,0.47775,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,52.225,19.443313953488378,28.331686046511624,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2044,0.48401,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,51.599000000000004,19.69808139534884,28.702918604651163,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2045,0.49027,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,50.973,19.952848837209306,29.0741511627907,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2046,0.49661999999999995,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,50.33800000000001,20.211279069767443,29.450720930232556,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2047,0.5029699999999999,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,49.70300000000001,20.469709302325583,29.827290697674417,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2048,0.50932,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,49.068,20.728139534883724,30.203860465116282,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2049,0.51567,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,48.43300000000001,20.986569767441864,30.58043023255814,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP1,2050,0.5220199999999999,2023,0.94,1.834956172100452,0.04977249042896413,0.94,0.204,0.14,0.657,0.043,0.132,0.166,47.79800000000001,21.245,30.956999999999997,94,94.46951785718421,99,90.76909895494428,static
Pakistan,DTP3,2023,0.38090799999999997,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,61.909200000000006,15.502069767441862,22.588730232558138,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2024,0.383994,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,61.6006,15.627662790697679,22.771737209302326,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2025,0.38708,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,61.292,15.75325581395349,22.95474418604651,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2026,0.391024,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,60.897600000000004,15.913767441860466,23.188632558139535,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2027,0.394968,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,60.5032,16.074279069767442,23.422520930232558,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2028,0.398912,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,60.1088,16.23479069767442,23.65640930232558,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2029,0.402856,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,59.7144,16.3953023255814,23.89029767441861,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2030,0.4068,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,59.32,16.55581395348837,24.12418604651163,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2031,0.41160399999999997,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,58.839600000000004,16.75132558139535,24.409074418604646,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2032,0.416408,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,58.3592,16.94683720930233,24.693962790697675,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2033,0.421212,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,57.878800000000005,17.142348837209305,24.978851162790697,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2034,0.426016,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,57.3984,17.337860465116282,25.26373953488372,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2035,0.43082,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,56.918,17.533372093023257,25.548627906976744,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2036,0.43645,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,56.355,17.762500000000003,25.8825,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2037,0.44208,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,55.792,17.991627906976746,26.216372093023256,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2038,0.44771,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,55.229,18.22075581395349,26.550244186046513,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2039,0.45333999999999997,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,54.666000000000004,18.449883720930234,26.884116279069765,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2040,0.45897,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,54.103,18.679011627906977,27.217988372093025,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2041,0.46523,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,53.477000000000004,18.933779069767446,27.589220930232557,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2042,0.47148999999999996,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,52.851000000000006,19.18854651162791,27.960453488372092,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2043,0.47775,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,52.225,19.443313953488378,28.331686046511624,86,86.42955889061534,95.29157587363926,83.04406925665116,static
