country,cumulative_difference,avg_annual_difference
Global,202030331.48440352,7482604.869792724
Nigeria,16048806.48918967,594400.240340358
India,23641452.053648725,875609.335320323
Pakistan,3677472.4061464127,136202.68170912645
Ethiopia,10933908.960174333,404959.5911175679
Indonesia,7389153.788791105,273672.36254781863
Angola,3330264.949593585,123343.14628124387
Colombia,178388.49689899033,6606.981366629274
Afghanistan,4258150.205000461,157709.26685186892
