country,dose,intercept,slope
Bangladesh,DTP1,2.794673238081865,0.10785647840670456
Bangladesh,DTP3,1.8807001970234831,0.10494064337025286
Bangladesh,measles1,0.9795642714205707,0.1328855940309468
Ethiopia,DTP1,0.09013040441906213,0.070039540484095
Ethiopia,DTP3,-0.6861379030443039,0.08706481303724369
Ethiopia,measles1,-0.5229603319358158,0.056828298876118684
Global,DTP1,2.260429861436933,0.02243709019902902
Global,DTP3,1.6467362840956905,0.02852612464781926
Global,measles1,1.5816094220946337,0.02706776589869947
India,DTP1,0.9428921964333284,0.08853967933520318
India,DTP3,0.11717445424219555,0.11210204073546362
India,measles1,0.08052528503226031,0.12714276240175884
Indonesia,DTP1,1.524614900038048,0.05095892022778877
Indonesia,DTP3,0.8236222228022302,0.05864413286231318
Indonesia,measles1,0.8980299286941819,0.05867528620056194
Nigeria,DTP1,-0.2783176122767962,0.04773296485110788
Nigeria,DTP3,-0.8819989562407039,0.06767886810599097
Nigeria,measles1,-0.6268926358646326,0.044953073273887305
Pakistan,DTP1,0.6901888922359635,0.049772490428744494
Pakistan,DTP3,0.20312239120260803,0.04406377565234642
Pakistan,measles1,0.13331433278324936,0.05107512368968943
Philippines,DTP1,2.3152703093240476,-0.020367777501801954
Philippines,DTP3,1.6799755211544378,-1.7721303045217418e-7
Philippines,measles1,2.0068196046448548,-0.02676565029259589
